20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
26                        0.0655687922689711   -302.8630711869474226   -302.7132395255300139   -302.8630711869474226   -302.7132395255300139      0.0000027219979744      0.9999972780020174
27                        0.0643489609411904   -302.8625968304488083   -302.7132109204120525   -302.8625968304488083   -302.7132109204120525      0.0000026376604963      0.9999973623395115
28                        0.0630974392886174   -302.8621253205462835   -302.7131680664675741   -302.8621253205462835   -302.7131680664675741      0.0000025313838502      0.9999974686161737
29                        0.0623981481584324   -302.8617045630778080   -302.7131420288677646   -302.8617045630778080   -302.7131420288677646      0.0000024492212000      0.9999975507788020
30                        0.0625886026233582   -302.8613105008864181   -302.7131564383633986   -302.8613105008864181   -302.7131564383633986      0.0000023583277007      0.9999976416723213
31                        0.0634539694853434   -302.8609154117296498   -302.7132020167035762   -302.8609154117296498   -302.7132020167035762      0.0000022084107602      0.9999977915892322
32                        0.0643391385872382   -302.8605261376823705   -302.7132467518435988   -302.8605261376823705   -302.7132467518435988      0.0000020180766744      0.9999979819233309
33                        0.0645793202366178   -302.8601543831549066   -302.7132632288551690   -302.8601543831549066   -302.7132632288551690      0.0000018163685692      0.9999981836314342
34                        0.0639175699740276   -302.8597959603558820   -302.7132430930938654   -302.8597959603558820   -302.7132430930938654      0.0000016362036982      0.9999983637963125
35                        0.0626118490115574   -302.8594534543245800   -302.7132082385426770   -302.8594534543245800   -302.7132082385426770      0.0000015127923659      0.9999984872076292
36                        0.0612032954561701   -302.8591335202110599   -302.7131753927810678   -302.8591335202110599   -302.7131753927810678      0.0000014299963998      0.9999985700036079
37                        0.0602081395712416   -302.8588209028340543   -302.7131626757439449   -302.8588209028340543   -302.7131626757439449      0.0000013684976086      0.9999986315023661
38                        0.0598498667027463   -302.8585081952753626   -302.7131735688359413   -302.8585081952753626   -302.7131735688359413      0.0000012842187059      0.9999987157812994
39                        0.0600201245139565   -302.8582474295481575   -302.7131913657402720   -302.8582474295481575   -302.7131913657402720      0.0000012090981540      0.9999987909018576
40                        0.0604611853060232   -302.8580942385967205   -302.7132077435395558   -302.8580942385967205   -302.7132077435395558      0.0000012736874015      0.9999987263126154
41                        0.0609554974003784   -302.8580401141952052   -302.7132097764060177   -302.8580401141952052   -302.7132097764060177      0.0000013954144489      0.9999986045855583
42                        0.0614208008234432   -302.8580154352745808   -302.7132105524353847   -302.8580154352745808   -302.7132105524353847      0.0000014237026190      0.9999985762973687
43                        0.0618216314538094   -302.8579550308562602   -302.7132114835377479   -302.8579550308562602   -302.7132114835377479      0.0000014351685371      0.9999985648314611
44                        0.0621144490215002   -302.8578026066854250   -302.7132142359665750   -302.8578026066854250   -302.7132142359665750      0.0000015222115065      0.9999984777884873
45                        0.0622213195059119   -302.8575659335973000   -302.7132250413188217   -302.8575659335973000   -302.7132250413188217      0.0000016033787703      0.9999983966212227
46                        0.0620125985814796   -302.8572907300502379   -302.7132302093293674   -302.8572907300502379   -302.7132302093293674      0.0000016711250136      0.9999983288749974
47                        0.0614543808768146   -302.8570500116113067   -302.7132171890613108   -302.8570500116113067   -302.7132171890613108      0.0000016848150629      0.9999983151849643
48                        0.0607635232115697   -302.8568023806877250   -302.7131869768274441   -302.8568023806877250   -302.7131869768274441      0.0000016108891420      0.9999983891108641
49                        0.0603635759320637   -302.8564740484131335   -302.7131613561858217   -302.8564740484131335   -302.7131613561858217      0.0000015357512284      0.9999984642487801
50                        0.0606397559507941   -302.8560641091494290   -302.7131524956771500   -302.8560641091494290   -302.7131524956771500      0.0000015354168324      0.9999984645831625
51                        0.0616792287694101   -302.8555574221151119   -302.7131772898691793   -302.8555574221151119   -302.7131772898691793      0.0000016119754037      0.9999983880245945
52                        0.0630902069725202   -302.8549633293970373   -302.7132233570749236   -302.8549633293970373   -302.7132233570749236      0.0000017440767501      0.9999982559232636
53                        0.0642292736816155   -302.8543628540674604   -302.7132460330019512   -302.8543628540674604   -302.7132460330019512      0.0000018861088622      0.9999981138911073
54                        0.0647280117554374   -302.8538050678909599   -302.7132378479767567   -302.8538050678909599   -302.7132378479767567      0.0000021251052939      0.9999978748946982
55                        0.0646732435228219   -302.8532560812043926   -302.7132128975727596   -302.8532560812043926   -302.7132128975727596      0.0000024117963595      0.9999975882036383
56                        0.0643861424231382   -302.8526541313764824   -302.7131923976391477   -302.8526541313764824   -302.7131923976391477      0.0000026023898377      0.9999973976101698
57                        0.0641312027679790   -302.8520004728447930   -302.7131918959074142   -302.8520004728447930   -302.7131918959074142      0.0000028304151213      0.9999971695848576
